NumCaserne,Adresse,CP,Ville,CodeTypeC
1,Prairieview,69901,Taobei,1
2,Summerview,69224,Al Maḩfid,3
3,Hanover,69817,Kájov,1
4,Hoepker,69334,Dalgān,1
9,Thierer,69597,Galán,1
10,Montana,69858,Manūjān,2
11,Declaration,69251,Stuttgart,2
12,Swallow,69737,Dedenëvo,1
13,Nevada,69549,Yeri,1
14,Forest Run,69789,Pevek,3
15,Steensland,69065,Riba de Ave,3
16,Anniversary,69586,Pomerode,1
17,Ridgeview,69436,Meicheng,2
18,Del Mar,69446,Parumaan,2
20,Moose,69529,Tambobamba,1
21,Rusk,69005,Sławoborze,1
22,Carpenter,69679,Perez,2
23,Mcbride,69228,Liwonde,2
24,Hooker,69011,Ciklapa,1
25,Mayfield,69550,Petropavlivka,1
26,Talmadge,69868,Registro,2
27,Emmet,69424,Caotan,1
28,Fairfield,69952,Cobh,1
29,Warbler,69836,Serov,1
30,Hudson,69008,Otaslavice,1
31,Southridge,69212,Puncakbaru,2
32,Lyons,69946,Santa Magdalena,1
33,Vermont,69782,Maumbawa,1
34,Pond,69800,Yoshkar-Ola,3
35,Rockefeller,69086,Áno Kopanákion,2
36,Buell,69313,Yara,2
37,Granby,69069,Afanas’yeva,2
38,Division,69499,Marondera,3
39,Atwood,69153,Batgrām,1
40,Northview,69304,Toride,1
41,Kings,69551,Jinshanzui,1
42,Crescent Oaks,69386,Zhangdian,1
43,Pankratz,69154,Cruz,2
44,Center,69875,Xiyang,2
45,School,69307,Cheqiao,3
46,Ridge Oak,69309,Bieliny,2
47,Lakeland,69875,Tamansari,2
48,Red Cloud,69821,Kobylin,3
49,Jenifer,69550,San Benito,2
50,Golf View,69479,Pailin,1
51,Vera,69457,Huyuan,1
52,Sage,69308,Ugljan,2
53,New Castle,69958,Huanghuai,3
54,Leroy,69122,Jieguanting,3
55,Lakewood,69058,Temryuk,3
56,Buell,69481,Žebrák,1
57,Thackeray,69747,Idritsa,3
58,Thierer,69415,Vári,1
59,Mesta,69139,Gobang,1
60,Shasta,69443,Tsukuba,3
61,Kedzie,69315,Araçuaí,3
62,Center,69664,Guyam Malaki,2
63,Sloan,69114,Spassk-Dal’niy,3
64,Gerald,69124,Pojan,3
65,Harbort,69059,Tafo,2
66,Lighthouse Bay,69509,Honolulu,2
67,Goodland,69241,Manorhamilton,1
68,Russell,69526,Mataigou,3
69,Spaight,69381,Mbale,3
70,Forster,69342,Medveditskiy,3
71,Cottonwood,69287,Baruunsuu,1
72,Golf View,69084,Baş Göynük,3
73,Elka,69919,Magadan,3
74,Manley,69360,Vicente Guerrero,3
75,Bluestem,69449,Anton,3
76,Stuart,69750,Nyandoma,3
77,Schurz,69301,Shijing,3
78,Carioca,69907,Kotel’niki,1
79,Corry,69553,Jikamshi,1
80,Killdeer,69262,Myeik,2
81,Pepper Wood,69134,Kampunglistrik,1
82,Crescent Oaks,69451,Gensi,1
83,Luster,69261,Pansoy,3
84,Buena Vista,69372,Philadelphia,1
85,Oneill,69795,Freetown,3
86,Grasskamp,69653,Leixlip,1
87,Manley,69077,Xinhua,1
88,Starling,69017,Flic en Flac,3
89,Scott,69558,Damai,1
90,Elka,69547,Horad Barysaw,2
91,Mockingbird,69231,Boulaide,3
92,Golf Course,69856,Yidu,2
93,Park Meadow,69484,København,3
94,Darwin,69916,El Rancho,3
95,Sherman,69743,Sukawaris,1
96,Florence,69830,Bromma,2
97,Forster,69180,Olutanga,2
98,Ronald Regan,69585,Uglyanets,1
99,Cambridge,69792,Pasirgaru,2
100,Arkansas,69945,Ishii,1
